title,date,location,url,continent,status
HYROX World Championships 2025 Chicago,CHI,CHI,https://hyrox.com/event/hyrox-world-championships-2025-chicago/,,Active
AIA HYROX Open Asian Championships,SGP,SGP,https://hyrox.com/event/hyrox-singapore/,,Active
F45 HYROX Sydney,SYD,SYD,https://hyrox.com/event/hyrox-sydney/,,Active
HYROX Cape Town,CPT,CPT,https://hyrox.com/event/hyrox-cape-town/,,Active
HYROX Abu Dhabi,AUH,AUH,https://hyrox.com/event/hyrox-abu-dhabi/,,Active
HYROX DELHI,DEL,DEL,https://hyrox.com/event/hyrox-delhi/,,Active
Cigna Healthcare HYROX Hong Kong,HKG,HKG,https://hyrox.com/event/hyrox-hong-kong/,,Active
HYROX Yokohama,YOK,YOK,https://hyrox.com/event/hyrox-yokohama/,,Active
HYROX Beijing,PEK,PEK,https://hyrox.com/event/hyrox-beijing/,,Active
HYROX Perth,PER,PER,https://hyrox.com/event/hyrox-perth/,,Active
Smart Fit HYROX Acapulco,ACA,ACA,https://hyrox.com/event/smart-fit-hyrox-acapulco/,,Active
Sports World HYROX Maastricht,MAA,MAA,https://hyrox.com/event/hyrox-maastricht/,,Active
HYROX São Paulo,SP,SP,https://hyrox.com/event/hyrox-sao-paulo/,,Active
Adrenalin HYROX Oslo,OSL,OSL,https://hyrox.com/event/hyrox-oslo/,,Active
HYROX Roma,RM,RM,https://hyrox.com/event/hyrox-roma/,,Active
Intersport HYROX Hamburg,HAM,HAM,https://hyrox.com/event/intersport-hyrox-hamburg/,,Active
F45 HYROX Toronto,TOR,TOR,https://hyrox.com/event/hyrox-toronto/,,Active
LET’S GO FITNESS HYROX GENEVA,GVA,GVA,https://hyrox.com/event/lets-go-fitness-hyrox-geneva/,,Active
HYROX GDANSK,GDN,GDN,https://hyrox.com/event/hyrox-gdansk/,,Active
HYROX Valencia,VLC,VLC,https://hyrox.com/event/hyrox-valencia/,,Active
FITNESS PARK HYROX PARIS,PAR,PAR,https://hyrox.com/event/hyrox-paris/,,Active
HYROX Birmingham,BIR,BIR,https://hyrox.com/event/hyrox-birmingham/,,Active
HYROX Stuttgart,STR,STR,https://hyrox.com/event/hyrox-stuttgart/,,Active
HYROX Ciudad de México,MEX,MEX,https://hyrox.com/event/hyrox-ciudad-de-mexico/,,Active
HYROX Seoul,SEL,SEL,https://hyrox.com/event/hyrox-seoul/,,Active
Sports Direct HYROX Dublin,DUB,DUB,https://hyrox.com/event/hyrox-dublin/,,Active
HYROX Chicago,CHI,CHI,https://hyrox.com/event/hyrox-chicago/,,Active
HYROX BORDEAUX,BDX,BDX,https://hyrox.com/event/hyrox-bordeaux/,,Active
HYROX Dallas,DAL,DAL,https://hyrox.com/event/hyrox-dallas/,,Active
HYROX Madrid,MAD,MAD,https://hyrox.com/event/hyrox-madrid/,,Active
HYROX Utrecht,UTR,UTR,https://hyrox.com/event/hyrox-utrecht/,,Active
HYROX Rio de Janeiro,RIO,RIO,https://hyrox.com/event/hyrox-rio-de-janeiro/,,Active
HYROX London,LON,LON,https://hyrox.com/event/hyrox-london-excel/,,Active
HYROX Verona,VR,VR,https://hyrox.com/event/hyrox-verona/,,Active
HYROX Melbourne,MEL,MEL,https://hyrox.com/event/hyrox-melbourne/,,Active
HYROX Frankfurt,FRA,FRA,https://hyrox.com/event/hyrox-frankfurt/,,Active
HYROX Anaheim,ANA,ANA,https://hyrox.com/event/hyrox-anaheim/,,Active
HYROX POZNAN,POZ,POZ,https://hyrox.com/event/hyrox-poznan/,,Active
INTERSPORT HYROX Stockholm,STO,STO,https://hyrox.com/event/hyrox-stockholm/,,Active
